sentence,label
给我看一下停水的通知好吗,1
什么时候停电，有没有相关的通知,1
给我看一下停煤气的通知,1
有没有洗水箱的通知呀,1
你好，最近有没有停水通知,1
哪里有停水的通知,1
请问哪里看停水通知,1
我要看停电通知,1
有没有停气通知给我看看,1
我想看停水的通知,1
我想看一下清洗水箱通知,1
我需要知道近期停电通知,1
我想知道最近有没有停过水，有没有通知,1
我想看通知会不会停电,1
我想看一下关于水电的通知,1
楼下有什么正在维修,1
给我看一下关于维修损毁设施的通知,1
最近有什么关于维修的通知吗,1
有什么设施正在建造,1
我想知道有什么正在维修的工程,1
正在施工的工程在哪里,1
维修工程是不是会影响交通出行,1
有哪里封路吗,1
我想看公共设施维修的信息,1
楼下的工程要到什么时候完工,1
我希望了解一下公共设施维修内容,1
我想看更多的关于维修的资料,1
为什么停电了,1
怎么停电了,1
停电会通知吗,1
停水会通知吗,1
停电的通知贴在哪里,1
管理处怎么走,1
附近有没有电影院,1
最近的公共厕所在哪里,1
F座往哪边走,1
麦当劳在哪里,1
鞋店在几楼,1
咖啡厅在哪,1
哪里有吸烟区,1
我想去图书馆应该怎么走,1
附近的ATM在哪里,1
可不可以带我去这边啊,1
我想去这个地方可以怎么去,1
怎么可以去到这个地方呢,1
这个地方应该怎么走,1
我怎么样可以找到这个地方呢,1
公园在哪个方向,1
我想知道怎么去那个地方,1
我想去公园应该怎么走,1
我不知道足球场怎么走，你可以带我过去吗,1
去公园应该走哪条路,1
我去公园可以走这条路吗,1
泳池在哪边呀,1
去体育馆哪样走最快,1
去网球场的最短路线是哪条,1
这条路可以到足球场吗,1
市中心怎么走,1
我想去市中心应该走哪边,1
能不能告诉我市中心在哪个方向,1
请问图书馆是在这个方向吗,1
从哪边走能更快的到达图书馆,1
可不可以告诉我市中心怎么走,1
能不能带我去市中心,1
能不能在地图上指一下图书馆在哪,1
附近的医院在哪里,1
可不可以告诉我体育馆的地址,1
体育馆怎么去，有没有路线给我看看,1
我想去商场，请问怎么走,1
我想问一下体育馆在什么位置,1
医院怎么走能不能给我指一下,1
能不能给我讲一下怎么去医院,1
能不能带我去医院,1
商场是往这个方向走吗,1
请问地铁站怎么走,1
不好意思，我想问下地铁站在哪边,1
可不可以告诉我怎么可以去到地铁站,1
我想去公交车站，请问是不是这个方向,1
公交站是不是在这个方向,1
小巴站怎么走,1
可以带我去小巴站吗,1
出租车落客点在哪儿呀,1
我想打车应该在哪里,1
哪里可以上下出租车,1
请问怎么去这个停车场,1
能不能帮我找一下这个停车场,1
告诉我这个停车场的方向,1
不好意思我想去电车站，请问应该怎么走,1
怎么去电车站,1
我不知道电车站在哪，你能不能给我指一下,1
附近宠物医院在哪里,1
这附近有没有五金店,1
菜市场在哪边,1
物业管理中心在哪里,1
防火栓在哪里,1
有没有地方可以借管钳,1
板子能不能借用一下,1
我想借一下梯子,1
我想借东西呀,1
我想跟你借东西可以吗,1
我来找你借东西借东西给我用一下呗,1
你好，我想借东西,1
请问可不可以借东西,1
我想借球拍，你有没有,1
你好，可以借东西给我吗,1
你好我要借东西,1
我想借点东西可不可以呀,1
这边有没有这个东西,1
这边是不是可以借东西,1
借东西给我可以吗,1
可不可以借东西,1
刚搬进来需要登记吗？,1
我是刚搬进来的新住户，请问在哪里登记,1
怎么查询水费,1
怎么查询电费,1
怎么查询煤气费,1
水费账户怎么开,1
电费账户怎么开,1
煤气费账户怎么开,1
我还没有水电煤气的账户,1
怎么交水费,1
怎么交电费,1
怎么交煤气费,1
物业有备用钥匙吗,1
水的阀门在哪里,1
有一个新室友搬进来要不要登记,1
新人搬进来怎么登记,1
楼道多久打扫一次,1
每一层的垃圾每天都倒吗,1
管理条例在哪里,1
有用户守则吗,1
住户需要遵守哪些规章制度呀,1
门卡遗失在哪里补办,1
补办门卡多少钱,1
有搬家服务吗,1
哪里可以临时存放小件物品,1
可以存放大件物品吗,1
每一层都有防火栓吗,1
我可以养宠物么,1
附近有什么公共设施可以使用,2
附近的商场在哪里,2
这边有没有健身房,2
如果想打羽毛球可以去哪里,2
附近有什么服务,2
社区有什么设施可以用,2
这边有什么公共设施,2
管理处有什么服务,2
我想问一下有什么服务,2
麻烦问一下这边有什么设施,2
有没有服务或者设施的清单,2
服务和设施的清单能不能给我看一下,2
我想预约休闲娱乐的活动或者场地，有什么选择呀,2
这些服务都怎么收费吖,2
楼下有没有足球场,2
如果我租足球场能不能借给我足球,2
我要看有什么服务可以约,2
给我看看有什么设施可以预约,2
有什么设施供我选择,2
我想看一下附近有什么设施,2
查询一下健身娱乐设施,2
这边有没有保龄球场,2
这边有没有羽毛球场,2
这边有没有足球场,2
这边有没有篮球场,2
这边有没有游泳池,2
这边有没有网球场,2
这边有没有壁球场地,2
这边有没有攀岩馆,2
这边有没有滑冰场,2
这边有没有台球厅,2
这边有没有乒乓球,2
能滑旱冰吗,2
足球场怎么收费,2
体育馆有没有攀岩,2
我想问一下这些设施都怎么收费,2
羽毛球有几个场地,2
游泳限时吗,2
这边有没有免费的健身活动项目,2
这边有滑冰场吗,2
我想知道有关台球的内容,2
有没有卖羽毛球的地方,2
能不能租羽毛球拍,2
附近有没有体育馆,2
这边有没有图书馆,2
小区附近有没有公园,2
附近的健身房在哪里,2
游泳池多少钱一小时,2
可以租羽毛球拍吗，多少钱,2
可不可以暂时存放大件行李,2
健身房有没有月卡,2
租场地多少钱,2
借拍子多少钱,2
场地可以提前多长时间预定,2
有没有免费的场地,2
可不可以告诉我设施的价格,2
借东西要不要押金,2
壁球场地怎么收费,2
台球多少钱一小时,2
如果几个人一起去健身房有没有优惠,2
ktv多少钱一小时,2
网吧多少钱一小时,2
我想看看运动器械价格,2
我想查询娱乐设施价格,2
排球场多少钱,2
网吧menu给我看一下可以吗,2
公园早晨几点开放,2
商场营业到晚上几点,2
商场早晨几点开门,2
附近早餐最早几点开始,2
可以提前多少天预定网球场,2
羽毛球场开放时间,2
体育馆几点开门,2
现在台球馆开门了没有,2
餐厅开始营业了吗,2
ktv营业到几点,2
游泳馆开放时间,2
篮球场周末开放时间和工作日一样吗,2
还有多久就可以入场了,2
台球可以玩到几点,2
请问乒乓球室的开放时间,2
能不能给我看看各个运动的开放时间,2
攀岩馆晚上开到几点,2
滑冰场周末开放时间,2
健身房的开放时间,2
帮我预约一个明天的羽毛球场,2
我想预约这个场地,2
这个场地可不可以预约,2
请问怎么样可以预约呢,2
可以怎样预约,2
你好，我想预定场地,2
可不可以告诉我怎么预定,2
能不能帮我预定一下,2
我想知道要预定应该怎么做,2
预定收取额外费用吗,2
预定收费吗,2
预定需要什么样的流程,2
预定的流程是什么,2
预定的具体步骤是什么,2
预定的手续,2
我想预定保龄球场,2
羽毛球场可以预定吗,2
要预定足球场应该怎么做,2
我想预定明天下午两点到三点的5号篮球场,2
我想来游泳需要预约吗,2
不好意思问一下网球场的预约流程是什么,2
怎样预约壁球的场地呢,2
攀岩可以以什么方式预约,2
可不可以告诉我怎么预定滑冰场,2
能不能告诉我怎么约台球厅的台子,2
帮我预定一个乒乓球台可以吗,2
我想后天来滑旱冰需要预约吗，自己带鞋,2
用什么方法可以预定到羽毛球场地,2
有什么办法可以先定到保龄球场,2
羽毛球场还有空场地吗，我想预定,2
足球场应该去哪里定,2
还有什么场地可以预定,2
你好，我想预定篮球场,2
请问我想定网球场应该怎么预定,2
帮我预约明天下午三点游泳,2
我要预定明天的壁球场地，还有空场地吗,2
预定台球需要走什么样的流程,2
如果没有人预定乒乓球台，我想预定,2
我明天可以来攀岩馆吗，控制人数吗,2
明天我可以来滑冰吗，需要提前预约吗,2
怎样可以预约滑旱冰,2
有几种方式可以预约场地,2
可以通过什么样的方式来预定,2
想预定场地有几种办法,2
预约明天游泳,2
预定明天的羽毛球场地,2
我想定明天来游泳,2
我想定明天的羽毛球场地,2
请问明天我可以来游泳吗,2
请问明天羽毛球场订满了吗,2
我明天想定场地,2
嗨，我想预定明天的羽毛球场地,2
能不能帮我预留明天的羽毛球场地,2
请把明天的一个羽毛球场留给我,2
把明天的一个羽毛球场地留给我可以吗,2
我希望定明天的羽毛球场,2
我要预定明天的羽毛球场,2
我要预约明天来游泳,2
明天的游泳池预约满员了吗,2
嗨，我想预约明天来游泳,2
能不能帮我预约明天游泳,2
请把明天的一个游泳名额留给我,2
把明天的一个游泳名额留给我可以吗,2
我希望预约明天游泳,2
我想看一下明天有什么项目场地可以预定,2
明天有什么是还有空位的吗，如果有就帮我预定上,2
我打算预定明天的羽毛球场地,2
我打算预约明天来游泳,2
明天有空位就帮我预定一下好吗,2
我计划预定明天的羽毛球场地,2
我计划预约明天来游泳,2
如果明天时间合适我就预定羽毛球场,2
如果明天有合适的时间我就预约来游泳,2
帮我预定明天的羽毛球场地,2
帮我预约名来游泳,2
我明天会来打羽毛球，能不能帮我预定一下,2
我明天会来游泳，能不能帮我预约一下,2
还能不能订到明天的羽毛球场,2
还能不能约到明天来游泳,2
我想问一下明天的羽毛球场是不是已经被定掉了,2
我想问一下明天的游泳池是不是已经预约满员了,2
明天羽毛球场地订满了吗,2
我想打篮球，请问有没有场地,2
烧烤架能不能租,2
怎么预定篮球场,2
可以提前多久预定篮球场,2
